ngram,counts,freq
abduction,3,4.44223319947404e-06
abductionforransom,1,1.48074439982468e-06
abductions,2,2.96148879964936e-06
abductor,1,1.48074439982468e-06
abdul,3,4.44223319947404e-06
abdulaziz,1,1.48074439982468e-06
abdulhadi,1,1.48074439982468e-06
abduljabbar,2,2.96148879964936e-06
abdullah,2,2.96148879964936e-06
abdulle,1,1.48074439982468e-06
abdulmutallab,1,1.48074439982468e-06
abdulrasheed,1,1.48074439982468e-06
abdurraheem,1,1.48074439982468e-06
abe,4,4.44223319947404e-06
abel,5,7.4037219991234e-06
abella,1,1.48074439982468e-06
aber,2,2.96148879964936e-06
abercrombie,2,2.96148879964936e-06
aberdeen,2,2.96148879964936e-06
abernathy,1,1.48074439982468e-06
abernethy,2,2.96148879964936e-06
aberration,1,1.48074439982468e-06
abetted,1,1.48074439982468e-06
abettersd,1,1.48074439982468e-06
abetting,1,1.48074439982468e-06
abhi,1,1.48074439982468e-06
abhishek,1,1.48074439982468e-06
abhorrence,1,1.48074439982468e-06
abhorrent,1,1.48074439982468e-06
abhors,1,1.48074439982468e-06
abi,3,4.44223319947404e-06
abide,2,2.96148879964936e-06
abided,1,1.48074439982468e-06
abides,1,1.48074439982468e-06
abiding,4,4.44223319947404e-06
abierto,1,1.48074439982468e-06
abigail,4,5.92297759929872e-06
abilene,1,1.48074439982468e-06
abilify,1,1.48074439982468e-06
abilities,11,1.18459551985974e-05
abilitiesin,1,1.48074439982468e-06
ability,138,5.92297759929872e-05
abilitywant,1,1.48074439982468e-06
abine,1,1.48074439982468e-06
abit,1,1.48074439982468e-06
abject,1,1.48074439982468e-06
abjection,3,4.44223319947404e-06
abjuration,1,1.48074439982468e-06
ablation,1,1.48074439982468e-06
ablaze,1,1.48074439982468e-06
able,472,5.62682871933378e-05
ablonczy,1,1.48074439982468e-06
ablutions,2,2.96148879964936e-06
ably,2,2.96148879964936e-06
abney,1,1.48074439982468e-06
abnormal,4,5.92297759929872e-06
abnormalities,2,1.48074439982468e-06
abnormally,1,1.48074439982468e-06
aboard,18,2.07304215975455e-05
abode,2,2.96148879964936e-06
abolish,2,2.96148879964936e-06
abolished,5,5.92297759929872e-06
abolishing,1,1.48074439982468e-06
abolitionism,1,1.48074439982468e-06
abominable,2,2.96148879964936e-06
abomination,1,1.48074439982468e-06
aborble,1,1.48074439982468e-06
abort,1,1.48074439982468e-06
aborted,4,5.92297759929872e-06
abortion,18,2.36919103971949e-05
abortionobsessed,1,1.48074439982468e-06
abortions,11,1.03652107987728e-05
abortive,1,1.48074439982468e-06
abott,1,1.48074439982468e-06
abou,2,2.96148879964936e-06
abound,3,4.44223319947404e-06
abounds,1,1.48074439982468e-06
abour,1,1.48074439982468e-06
about,4739,0.00195458260776858
aboutcom,1,1.48074439982468e-06
aboutface,2,2.96148879964936e-06
aboutfaces,1,1.48074439982468e-06
aboutits,1,1.48074439982468e-06
aboutme,1,1.48074439982468e-06
abouts,1,1.48074439982468e-06
aboutss,1,1.48074439982468e-06
aboutt,1,1.48074439982468e-06
aboutthen,2,2.96148879964936e-06
aboutwell,1,1.48074439982468e-06
abouve,1,1.48074439982468e-06
above,192,0.000185093049978085
abovebeyond,1,1.48074439982468e-06
aboveboard,1,1.48074439982468e-06
aboveground,1,1.48074439982468e-06
aboveitall,1,1.48074439982468e-06
abovenormal,1,1.48074439982468e-06
aboyfriendshouldalways,1,1.48074439982468e-06
abp,1,1.48074439982468e-06
abq,12,1.77689327978962e-05
abraham,17,2.07304215975455e-05
abram,1,1.48074439982468e-06
abramov,1,1.48074439982468e-06
abramovich,2,2.96148879964936e-06
abrams,2,2.96148879964936e-06
abramson,1,1.48074439982468e-06
abrasive,3,4.44223319947404e-06
abreu,4,2.96148879964936e-06
abrewing,1,1.48074439982468e-06
abridged,1,1.48074439982468e-06
abroad,24,1.92496771977208e-05
abroadas,1,1.48074439982468e-06
abromaitis,1,1.48074439982468e-06
abrupt,3,1.48074439982468e-06
abruptly,5,7.4037219991234e-06
abs,6,8.88446639894808e-06
abscess,1,1.48074439982468e-06
abscesses,1,1.48074439982468e-06
absence,23,2.36919103971949e-05
absences,4,5.92297759929872e-06
absent,13,1.92496771977208e-05
absentee,2,2.96148879964936e-06
absenteeism,1,1.48074439982468e-06
absinthe,1,1.48074439982468e-06
absolute,34,2.51726547970196e-05
absolutely,149,0.000119940296385799
absolutes,1,1.48074439982468e-06
absolutists,1,1.48074439982468e-06
absolutley,1,1.48074439982468e-06
absolutly,1,1.48074439982468e-06
absolved,1,1.48074439982468e-06
absorb,6,7.4037219991234e-06
absorbed,5,7.4037219991234e-06
absorber,1,1.48074439982468e-06
absorbers,1,1.48074439982468e-06
absorbing,3,4.44223319947404e-06
absorbs,3,4.44223319947404e-06
absorption,3,4.44223319947404e-06
abstain,1,1.48074439982468e-06
abstained,2,2.96148879964936e-06
abstainer,1,1.48074439982468e-06
abstinence,2,2.96148879964936e-06
abstinencebased,1,1.48074439982468e-06
abstract,7,1.03652107987728e-05
abstracted,1,1.48074439982468e-06
abstraction,2,2.96148879964936e-06
abstrakt,2,2.96148879964936e-06
absurd,25,2.66533991968442e-05
absurdities,1,1.48074439982468e-06
absurdity,2,2.96148879964936e-06
abt,23,3.40571211959676e-05
abtheagent,1,1.48074439982468e-06
abu,7,1.03652107987728e-05
abubaker,1,1.48074439982468e-06
abuela,1,1.48074439982468e-06
abuja,1,1.48074439982468e-06
abundance,11,1.03652107987728e-05
abundant,5,5.92297759929872e-06
abundantly,1,1.48074439982468e-06
abuse,61,3.55378655957923e-05
abused,18,2.36919103971949e-05
abuser,2,2.96148879964936e-06
abusers,3,4.44223319947404e-06
abuses,8,8.88446639894808e-06
abusing,5,7.4037219991234e-06
abusive,16,1.77689327978962e-05
abut,1,1.48074439982468e-06
abutted,1,1.48074439982468e-06
abv,7,8.88446639894808e-06
abx,2,2.96148879964936e-06
aby,1,1.48074439982468e-06
abyei,2,2.96148879964936e-06
abysmal,1,1.48074439982468e-06
abyss,3,1.48074439982468e-06
abyssi,1,1.48074439982468e-06
abyssinians,1,1.48074439982468e-06
abyzov,1,1.48074439982468e-06
ac,23,2.51726547970196e-05
acab,1,1.48074439982468e-06
acacia,1,1.48074439982468e-06
acad,1,1.48074439982468e-06
academe,1,1.48074439982468e-06
academedia,2,1.48074439982468e-06
academia,7,7.4037219991234e-06
academiaedu,1,1.48074439982468e-06
academic,40,4.29415875949157e-05
academically,5,7.4037219991234e-06
academicmedical,1,1.48074439982468e-06
academics,6,8.88446639894808e-06
academicsit,1,1.48074439982468e-06
academies,5,7.4037219991234e-06
academy,59,5.77490315931625e-05
academyawards,1,1.48074439982468e-06
acai,1,1.48074439982468e-06
acapella,3,4.44223319947404e-06
acapellas,2,2.96148879964936e-06
acc,15,1.33266995984221e-05
accardi,1,1.48074439982468e-06
accbig,1,1.48074439982468e-06
accbound,1,1.48074439982468e-06
acceded,1,1.48074439982468e-06
accelerant,1,1.48074439982468e-06
accelerate,4,2.96148879964936e-06
accelerated,7,1.03652107987728e-05
accelerates,2,2.96148879964936e-06
accelerating,3,4.44223319947404e-06
acceleration,4,5.92297759929872e-06
accelerator,4,2.96148879964936e-06
accelkkr,1,1.48074439982468e-06
accent,26,2.96148879964936e-05
accented,4,4.44223319947404e-06
accentneutral,1,1.48074439982468e-06
accents,9,1.03652107987728e-05
accentuate,2,2.96148879964936e-06
accentuated,1,1.48074439982468e-06
accentuating,1,1.48074439982468e-06
accenture,1,1.48074439982468e-06
accept,85,3.99800987952664e-05
acceptable,22,1.92496771977208e-05
acceptance,21,2.66533991968442e-05
accepted,56,5.18260539938638e-05
accepting,28,3.55378655957923e-05
accepts,9,1.33266995984221e-05
access,132,0.000127344018384922
accessed,2,2.96148879964936e-06
accessibility,5,7.4037219991234e-06
accessible,19,2.22111659973702e-05
accessing,3,4.44223319947404e-06
accesslink,1,1.48074439982468e-06
accessories,30,2.96148879964936e-05
accessoriessponging,1,1.48074439982468e-06
accessory,7,1.03652107987728e-05
accident,78,6.66334979921106e-05
accidental,9,7.4037219991234e-06
accidentally,27,2.36919103971949e-05
accidentals,1,1.48074439982468e-06
accidently,2,2.96148879964936e-06
accidents,17,2.22111659973702e-05
accit,1,1.48074439982468e-06
acclaim,4,5.92297759929872e-06
acclaimed,6,7.4037219991234e-06
acclimatises,1,1.48074439982468e-06
accohannock,1,1.48074439982468e-06
accolades,1,1.48074439982468e-06
accommodate,12,4.44223319947404e-06
accommodated,2,2.96148879964936e-06
accommodating,5,7.4037219991234e-06
accommodation,2,2.96148879964936e-06
accommodationists,1,1.48074439982468e-06
accommodations,4,5.92297759929872e-06
accompained,1,1.48074439982468e-06
accompanied,22,2.96148879964936e-05
accompanies,3,2.96148879964936e-06
accompaniment,3,4.44223319947404e-06
accompanists,1,1.48074439982468e-06
accompany,7,4.44223319947404e-06
accompanying,10,1.18459551985974e-05
accomplice,1,1.48074439982468e-06
accomplices,1,1.48074439982468e-06
accomplish,34,1.33266995984221e-05
accomplished,30,3.40571211959676e-05
accomplishes,1,1.48074439982468e-06
accomplishing,2,2.96148879964936e-06
accomplishment,13,1.62881883980715e-05
accomplishmentjim,1,1.48074439982468e-06
accomplishmentmy,1,1.48074439982468e-06
accomplishments,13,1.92496771977208e-05
accord,4,4.44223319947404e-06
accordance,3,2.96148879964936e-06
accorded,2,2.96148879964936e-06
accordian,1,1.48074439982468e-06
accordign,1,1.48074439982468e-06
according,412,0.000497530118341092
accordingly,12,1.62881883980715e-05
accordion,2,2.96148879964936e-06
accords,1,1.48074439982468e-06
accosted,1,1.48074439982468e-06
account,166,0.00011697880758615
accountability,5,7.4037219991234e-06
accountable,15,2.07304215975455e-05
accountant,5,4.44223319947404e-06
accountants,4,5.92297759929872e-06
accounted,7,1.03652107987728e-05
accounting,11,1.48074439982468e-05
accounts,55,5.92297759929872e-05
accoustic,1,1.48074439982468e-06
accout,1,1.48074439982468e-06
accreditation,6,8.88446639894808e-06
accredited,3,4.44223319947404e-06
accretive,1,1.48074439982468e-06
accrue,1,1.48074439982468e-06
accrued,2,2.96148879964936e-06
acct,6,8.88446639894808e-06
accts,1,1.48074439982468e-06
accumulate,4,2.96148879964936e-06
accumulated,2,1.48074439982468e-06
accumulating,2,2.96148879964936e-06
accumulation,2,2.96148879964936e-06
accupuncture,1,1.48074439982468e-06
accuracies,1,1.48074439982468e-06
accuracy,11,1.62881883980715e-05
accurate,43,3.7018609995617e-05
accurately,11,8.88446639894808e-06
accusation,3,4.44223319947404e-06
accusations,8,1.03652107987728e-05
accuse,6,8.88446639894808e-06
accused,52,4.29415875949157e-05
accuser,3,4.44223319947404e-06
accusers,2,2.96148879964936e-06
accuses,6,8.88446639894808e-06
accusing,8,1.18459551985974e-05
accussed,1,1.48074439982468e-06
accustomed,10,1.33266995984221e-05
accustoming,1,1.48074439982468e-06
acdc,1,1.48074439982468e-06
ace,19,2.36919103971949e-05
aceinwaiting,1,1.48074439982468e-06
acela,1,1.48074439982468e-06
aceofspades,1,1.48074439982468e-06
acer,4,5.92297759929872e-06
aces,4,4.44223319947404e-06
acetate,4,5.92297759929872e-06
acevedo,1,1.48074439982468e-06
aceves,1,1.48074439982468e-06
acf,1,1.48074439982468e-06
acharity,1,1.48074439982468e-06
ache,7,8.88446639894808e-06
ached,3,4.44223319947404e-06
aches,7,1.03652107987728e-05
acheson,1,1.48074439982468e-06
achieve,57,2.66533991968442e-05
achieved,28,2.51726547970196e-05
achievement,34,3.2576376796143e-05
achievements,6,7.4037219991234e-06
achiever,1,1.48074439982468e-06
achieves,2,2.96148879964936e-06
achieving,15,1.92496771977208e-05
achilles,9,1.03652107987728e-05
aching,4,5.92297759929872e-06
acho,1,1.48074439982468e-06
acholic,1,1.48074439982468e-06
achuz,1,1.48074439982468e-06
achy,1,1.48074439982468e-06
aci,1,1.48074439982468e-06
acid,11,1.33266995984221e-05
acidic,4,5.92297759929872e-06
acidification,1,1.48074439982468e-06
acidifying,1,1.48074439982468e-06
acidity,7,7.4037219991234e-06
acidmescalineayahuasca,1,1.48074439982468e-06
acidrain,1,1.48074439982468e-06
acids,2,2.96148879964936e-06
acip,1,1.48074439982468e-06
acivities,1,1.48074439982468e-06
ack,1,1.48074439982468e-06
ackerman,3,4.44223319947404e-06
ackley,1,1.48074439982468e-06
acknoweledge,1,1.48074439982468e-06
acknowledge,25,2.22111659973702e-05
acknowledged,32,3.84993543954417e-05
acknowledgement,2,2.96148879964936e-06
acknowledges,3,4.44223319947404e-06
acknowledging,6,8.88446639894808e-06
acknowledgment,5,7.4037219991234e-06
acknowledgments,1,1.48074439982468e-06
acl,14,1.03652107987728e-05
aclass,2,2.96148879964936e-06
aclu,6,2.96148879964936e-06
acm,2,2.96148879964936e-06
acms,2,2.96148879964936e-06
acne,3,4.44223319947404e-06
acob,1,1.48074439982468e-06
acon,1,1.48074439982468e-06
acorn,2,2.96148879964936e-06
acorns,3,4.44223319947404e-06
acorss,1,1.48074439982468e-06
acosta,4,5.92297759929872e-06
acoustic,6,8.88446639894808e-06
acoustica,1,1.48074439982468e-06
acoustics,1,1.48074439982468e-06
acp,2,2.96148879964936e-06
acquaint,1,1.48074439982468e-06
acquaintance,6,7.4037219991234e-06
acquaintances,1,1.48074439982468e-06
acquainted,4,5.92297759929872e-06
acquainting,1,1.48074439982468e-06
acquire,10,5.92297759929872e-06
acquired,23,2.66533991968442e-05
acquirers,1,1.48074439982468e-06
acquires,2,2.96148879964936e-06
acquiring,8,1.03652107987728e-05
acquisition,20,2.07304215975455e-05
acquisitions,5,5.92297759929872e-06
acquisitionspossibly,1,1.48074439982468e-06
acquisitive,1,1.48074439982468e-06
acquit,2,2.96148879964936e-06
acquittal,2,2.96148879964936e-06
acquitted,3,4.44223319947404e-06
acqusition,1,1.48074439982468e-06
acre,21,1.92496771977208e-05
acreage,3,4.44223319947404e-06
acres,50,5.62682871933378e-05
acrid,1,1.48074439982468e-06
acrimony,1,1.48074439982468e-06
acrl,1,1.48074439982468e-06
acrobat,1,1.48074439982468e-06
acrobatic,1,1.48074439982468e-06
acrobats,2,2.96148879964936e-06
acronym,3,4.44223319947404e-06
acronyms,1,1.48074439982468e-06
acropolis,2,1.48074439982468e-06
across,289,0.000312437068363007
acrylic,4,5.92297759929872e-06
acrylics,2,2.96148879964936e-06
acrylonitrileexposed,1,1.48074439982468e-06
acs,2,2.96148879964936e-06
act,233,0.00018657379437791
acta,8,7.4037219991234e-06
actants,1,1.48074439982468e-06
acted,15,1.48074439982468e-05
actigraph,1,1.48074439982468e-06
actin,2,2.96148879964936e-06
acting,90,9.18061527891301e-05
actingmodeling,1,1.48074439982468e-06
actingout,1,1.48074439982468e-06
action,239,0.000176208583579137
actionattend,1,1.48074439982468e-06
actioncomedy,1,1.48074439982468e-06
actionpacked,1,1.48074439982468e-06
actionreaction,1,1.48074439982468e-06
actions,92,6.959498679176e-05
actionscript,1,1.48074439982468e-06
actionthriller,1,1.48074439982468e-06
activa,1,1.48074439982468e-06
activate,5,7.4037219991234e-06
activated,5,7.4037219991234e-06
activating,3,4.44223319947404e-06
activation,3,2.96148879964936e-06
active,83,7.99601975905327e-05
activebut,1,1.48074439982468e-06
activeduty,2,2.96148879964936e-06
activei,1,1.48074439982468e-06
actively,17,2.07304215975455e-05
activewear,1,1.48074439982468e-06
activia,1,1.48074439982468e-06
activiate,1,1.48074439982468e-06
activism,7,1.03652107987728e-05
activist,19,2.22111659973702e-05
activists,31,4.44223319947404e-05
activities,79,8.73639195896561e-05
activity,80,8.88446639894808e-05
actn,1,1.48074439982468e-06
actnow,1,1.48074439982468e-06
actor,61,5.92297759929872e-05
actors,54,5.62682871933378e-05
actorsloungelive,1,1.48074439982468e-06
actress,22,2.22111659973702e-05
actresses,3,4.44223319947404e-06
acts,50,6.81142423919353e-05
actsat,1,1.48074439982468e-06
actsophia,1,1.48074439982468e-06
actthe,1,1.48074439982468e-06
acttually,1,1.48074439982468e-06
actual,78,5.47875427935132e-05
actuality,2,2.96148879964936e-06
actualize,1,1.48074439982468e-06
actuallu,1,1.48074439982468e-06
actually,543,0.000270976225167916
actualy,1,1.48074439982468e-06
actuaries,1,1.48074439982468e-06
acuity,1,1.48074439982468e-06
acumulated,1,1.48074439982468e-06
acupuncture,2,2.96148879964936e-06
acupuncturist,1,1.48074439982468e-06
acura,3,4.44223319947404e-06
acuta,1,1.48074439982468e-06
acute,7,1.03652107987728e-05
acutely,5,7.4037219991234e-06
acutestyle,1,1.48074439982468e-06
acv,1,1.48074439982468e-06
acy,1,1.48074439982468e-06
ad,51,6.21912647926366e-05
ada,7,1.03652107987728e-05
adad,1,1.48074439982468e-06
adage,4,4.44223319947404e-06
adages,1,1.48074439982468e-06
adagio,1,1.48074439982468e-06
adair,5,7.4037219991234e-06
adalea,2,2.96148879964936e-06
adalind,8,1.03652107987728e-05
adalstraeti,1,1.48074439982468e-06
adam,63,8.29216863901821e-05
adamant,5,7.4037219991234e-06
adamantly,3,2.96148879964936e-06
adamcarolla,1,1.48074439982468e-06
adamently,1,1.48074439982468e-06
adamo,1,1.48074439982468e-06
adamouski,1,1.48074439982468e-06
adams,42,4.73838207943898e-05
adamsdearborn,1,1.48074439982468e-06
adamski,1,1.48074439982468e-06
adamson,5,7.4037219991234e-06
adamtoo,1,1.48074439982468e-06
adana,1,1.48074439982468e-06
adande,1,1.48074439982468e-06
adapt,11,1.03652107987728e-05
adaptable,1,1.48074439982468e-06
adaptation,14,1.77689327978962e-05
adaptations,2,2.96148879964936e-06
adapted,12,1.48074439982468e-05
adapter,1,1.48074439982468e-06
adapting,1,1.48074439982468e-06
adaptive,3,4.44223319947404e-06
adaug,1,1.48074439982468e-06
aday,1,1.48074439982468e-06
adbe,1,1.48074439982468e-06
adblock,1,1.48074439982468e-06
adcdc,1,1.48074439982468e-06
adcdcc,1,1.48074439982468e-06
adchat,2,2.96148879964936e-06
adco,1,1.48074439982468e-06
adcock,1,1.48074439982468e-06
add,396,0.000259130269969319
added,244,0.000176208583579137
addendum,4,5.92297759929872e-06
adderall,1,1.48074439982468e-06
addict,9,1.03652107987728e-05
addicted,24,2.51726547970196e-05
addicting,8,1.03652107987728e-05
addiction,25,3.2576376796143e-05
addictions,4,5.92297759929872e-06
addictive,4,5.92297759929872e-06
addicts,6,8.88446639894808e-06
addie,1,1.48074439982468e-06
addin,1,1.48074439982468e-06
adding,120,0.000111055829986851
addish,1,1.48074439982468e-06
addison,2,2.96148879964936e-06
addition,120,2.81341435966689e-05
additional,88,7.55179643910587e-05
additionally,9,1.33266995984221e-05
additionalternative,1,1.48074439982468e-06
additions,10,1.33266995984221e-05
additionyou,1,1.48074439982468e-06
additives,2,2.96148879964936e-06
addon,3,4.44223319947404e-06
addra,1,1.48074439982468e-06
address,116,6.959498679176e-05
addressable,1,1.48074439982468e-06
addressed,21,1.92496771977208e-05
addresses,21,2.81341435966689e-05
addressing,16,1.92496771977208e-05
adds,57,5.33067983936885e-05
addtl,1,1.48074439982468e-06
addy,7,8.88446639894808e-06
adeh,2,2.96148879964936e-06
adele,15,1.92496771977208e-05
adeline,1,1.48074439982468e-06
adelson,1,1.48074439982468e-06
adem,1,1.48074439982468e-06
adepero,1,1.48074439982468e-06
adept,2,2.96148879964936e-06
adeptly,2,2.96148879964936e-06
adequate,13,1.48074439982468e-05
adequately,3,4.44223319947404e-06
adewale,1,1.48074439982468e-06
adewunmi,1,1.48074439982468e-06
adewunmis,1,1.48074439982468e-06
adeyeri,1,1.48074439982468e-06
adgooroo,1,1.48074439982468e-06
adhd,6,7.4037219991234e-06
adhere,11,1.62881883980715e-05
adhered,4,4.44223319947404e-06
adherence,1,1.48074439982468e-06
adherents,4,5.92297759929872e-06
adhering,1,1.48074439982468e-06
adhesive,2,2.96148879964936e-06
adhoc,1,1.48074439982468e-06
adidas,10,1.18459551985974e-05
adidias,1,1.48074439982468e-06
adieu,5,5.92297759929872e-06
adimchinobe,1,1.48074439982468e-06
adios,1,1.48074439982468e-06
adisa,1,1.48074439982468e-06
adj,2,2.96148879964936e-06
adjacency,2,2.96148879964936e-06
adjacent,9,1.18459551985974e-05
adjective,2,2.96148879964936e-06
adjectives,2,2.96148879964936e-06
adjobs,1,1.48074439982468e-06
adjoining,6,7.4037219991234e-06
adjourned,2,2.96148879964936e-06
adjournment,1,1.48074439982468e-06
adjudication,1,1.48074439982468e-06
adjudicatory,1,1.48074439982468e-06
adjunct,4,4.44223319947404e-06
adjust,26,2.36919103971949e-05
adjustable,3,4.44223319947404e-06
adjustablerate,1,1.48074439982468e-06
adjusted,9,1.18459551985974e-05
adjuster,1,1.48074439982468e-06
adjusting,4,5.92297759929872e-06
adjustment,6,8.88446639894808e-06
adjustments,5,5.92297759929872e-06
adl,2,2.96148879964936e-06
adler,6,5.92297759929872e-06
adlerolsen,1,1.48074439982468e-06
adlibbing,1,1.48074439982468e-06
adm,2,2.96148879964936e-06
admin,7,1.03652107987728e-05
administer,3,4.44223319947404e-06
administered,4,4.44223319947404e-06
administering,1,1.48074439982468e-06
administers,1,1.48074439982468e-06
administrate,1,1.48074439982468e-06
administration,108,6.51527535922859e-05
administrationeconomics,1,1.48074439982468e-06
administrations,1,1.48074439982468e-06
administrative,26,3.40571211959676e-05
administratively,1,1.48074439982468e-06
administrator,23,3.10956323963183e-05
administrators,14,1.48074439982468e-05
adminprofweek,1,1.48074439982468e-06
admirable,1,1.48074439982468e-06
admiral,3,4.44223319947404e-06
admiration,3,4.44223319947404e-06
admire,17,1.48074439982468e-05
admired,8,1.03652107987728e-05
admirer,4,5.92297759929872e-06
admirers,1,1.48074439982468e-06
admires,1,1.48074439982468e-06
admiring,6,7.4037219991234e-06
admiringly,2,2.96148879964936e-06
admissible,1,1.48074439982468e-06
admission,37,4.1460843195091e-05
admissions,8,1.03652107987728e-05
admit,77,2.81341435966689e-05
admits,12,1.77689327978962e-05
admittance,2,2.96148879964936e-06
admitted,42,4.59030763945651e-05
admittedly,8,1.18459551985974e-05
admitting,5,7.4037219991234e-06
admo,1,1.48074439982468e-06
admonished,1,1.48074439982468e-06
admonishing,1,1.48074439982468e-06
admonition,2,2.96148879964936e-06
adn,1,1.48074439982468e-06
ado,6,2.96148879964936e-06
adobe,7,1.03652107987728e-05
adobeblock,1,1.48074439982468e-06
adobesocial,1,1.48074439982468e-06
adobo,1,1.48074439982468e-06
adolescence,3,4.44223319947404e-06
adolescent,5,7.4037219991234e-06
adolescents,2,2.96148879964936e-06
adolf,2,2.96148879964936e-06
adolph,3,4.44223319947404e-06
adonai,1,1.48074439982468e-06
adonia,1,1.48074439982468e-06
adopt,20,1.48074439982468e-05
adoptable,2,2.96148879964936e-06
adoptables,1,1.48074439982468e-06
adopted,39,4.1460843195091e-05
adoptee,3,4.44223319947404e-06
adoptees,2,2.96148879964936e-06
adopters,1,1.48074439982468e-06
adopting,7,1.03652107987728e-05
adoption,36,3.55378655957923e-05
adoptions,3,4.44223319947404e-06
adoptionsorg,1,1.48074439982468e-06
adoptive,6,7.4037219991234e-06
adorable,33,2.96148879964936e-05
adorably,1,1.48074439982468e-06
adorama,1,1.48074439982468e-06
adoration,1,1.48074439982468e-06
adore,20,8.88446639894808e-06
adored,5,7.4037219991234e-06
adoring,2,2.96148879964936e-06
adorned,8,1.03652107987728e-05
adornment,1,1.48074439982468e-06
adornos,1,1.48074439982468e-06
adorns,2,2.96148879964936e-06
adp,2,2.96148879964936e-06
adr,1,0
adrenal,3,2.96148879964936e-06
adrenalin,2,2.96148879964936e-06
adrenaline,12,1.33266995984221e-05
adrenalinefueled,1,1.48074439982468e-06
adri,1,1.48074439982468e-06
adrian,16,2.07304215975455e-05
adriana,2,1.48074439982468e-06
adrianna,1,1.48074439982468e-06
adrien,2,2.96148879964936e-06
adrienne,7,1.03652107987728e-05
adrift,1,1.48074439982468e-06
adrive,1,1.48074439982468e-06
adroit,1,1.48074439982468e-06
adron,1,1.48074439982468e-06
ads,40,4.44223319947404e-05
adubato,2,2.96148879964936e-06
adulation,5,2.96148879964936e-06
adult,84,6.07105203928119e-05
adultd,1,1.48074439982468e-06
adulterated,2,2.96148879964936e-06
adulterers,1,1.48074439982468e-06
adultery,3,4.44223319947404e-06
adulteryit,1,1.48074439982468e-06
adulthood,3,4.44223319947404e-06
adults,89,6.959498679176e-05
adultstyle,1,1.48074439982468e-06
adv,4,5.92297759929872e-06
advance,76,3.84993543954417e-05
advanced,39,4.29415875949157e-05
advancedenergy,1,1.48074439982468e-06
advancement,3,4.44223319947404e-06
advancements,1,1.48074439982468e-06
